STATE,CONSTITUENCY, Assets , Liabilities ,NAME,WINNER,PARTY,SYMBOL,GENDER,"CRIMINAL
CASES",AGE,CATEGORY,EDUCATION,"GENERAL
VOTES","POSTAL
VOTES","TOTAL
VOTES","OVER TOTAL ELECTORS 
IN CONSTITUENCY","OVER TOTAL VOTES POLLED 
IN CONSTITUENCY",TOTAL ELECTORS,
Kerala,ERNAKULAM,48174090,1629133,P RAJEEV,0,CPI(M),"Hammer, Sickle and Star",MALE,6,51,GENERAL,Graduate Professional,321344,766,322110,25.85210583,33.29680894,1245972,
Kerala,ERNAKULAM,115836275, -   ,ALPHONS KANNANTHANAM,0,BJP,Lotus,MALE,1,65,GENERAL,Graduate,137531,218,137749,11.05554539,14.23924167,1245972,
Tamil Nadu,ERODE,43110000,2060000,GANESHAMURTHI A,1,DMK,Rising Sun,MALE,0,72,GENERAL,Graduate,558929,4662,563591,38.54283069,52.72118039,1462246,
Tamil Nadu,ERODE,77573699,29371716,MANIMARAN G,0,AIADMK,Two Leaves,MALE,0,52,GENERAL,12th Pass,352330,643,352973,24.13909835,33.01889705,1462246,
Tamil Nadu,ERODE,11919500,3257200,SARAVANAKUMAR A,0,MNM,Battery Torch,MALE,0,43,GENERAL,Others,47574,145,47719,3.263404379,4.46387896,1462246,
Tamil Nadu,ERODE,10895377, -   ,SEETHALAKSHMI M K,0,NTK,Ganna Kisan,FEMALE,2,43,GENERAL,Post Graduate,38849,161,39010,2.66781376,3.649194623,1462246,
Uttar Pradesh,ETAH,383629735,100220000,Rajveer Singh (Raju Bhaiya),1,BJP,Lotus,MALE,0,58,GENERAL,Graduate Professional,544267,1081,545348,33.6365683,54.51561051,1621295,
Uttar Pradesh,ETAH,2046415655,53156203,Ku. Devendra Singh Yadav,0,SP,Bicycle,MALE,0,70,GENERAL,Doctorate,422054,624,422678,26.07039435,42.25292697,1621295,
Uttar Pradesh,ETAWAH,15154538,7304616,Dr RAM SHANKAR KATHERIA,0,BJP,Lotus,MALE,12,54,SC,Doctorate,519674,2445,522119,29.69987213,50.74974898,1757984,
Uttar Pradesh,ETAWAH,11207526,2190246,KAMLESH KUMAR,0,SP,Bicycle,MALE,0,35,SC,Graduate,455957,1725,457682,26.0344804,44.48649946,1757984,
Uttar Pradesh,FAIZABAD,31884642,11276478,LALLU SINGH,1,BJP,Lotus,MALE,1,64,GENERAL,Post Graduate,528113,908,529021,29.03860774,48.64918799,1821785,
Uttar Pradesh,FAIZABAD,43920899,1560431,ANAND SEN,0,SP,Bicycle,MALE,8,55,GENERAL,12th Pass,463187,357,463544,25.44449537,42.62787148,1821785,
Uttar Pradesh,FAIZABAD,14459169,409256,NIRMAL KHATRI,0,INC,Hand,MALE,3,68,GENERAL,Doctorate,53322,64,53386,2.930422635,4.909418624,1821785,
Haryana,FARIDABAD,369652786,105593242,KRISHAN PAL,1,BJP,Lotus,MALE,0,62,GENERAL,Graduate Professional,910787,2435,913222,44.07833514,68.76014116,2071816,
Haryana,FARIDABAD,120803457, -   ,AVTAR SINGH BHADANA,0,INC,Hand,MALE,1,62,GENERAL,8th Pass,274755,228,274983,13.27255895,20.70457117,2071816,
Haryana,FARIDABAD,69370850,2600000,MANDHIR MAAN,0,BSP,Elephant,MALE,0,43,GENERAL,10th Pass,86694,58,86752,4.187244427,6.531905458,2071816,
Punjab,FARIDKOT,19793884,311043,Mohammad Sadique,1,INC,Hand,MALE,0,78,SC,5th Pass,417936,1129,419065,27.17722966,42.97036018,1541971,
Punjab,FARIDKOT,82957653, -   ,Gulzar Singh Ranike,0,SAD,Scales,MALE,1,61,SC,Literate,334674,1135,335809,21.77790633,34.43340217,1541971,
Punjab,FARIDKOT,15138283,3500000,Prof. Sadhu Singh,0,AAP,Broom,MALE,0,78,SC,Post Graduate,114610,709,115319,7.47867502,11.8246548,1541971,
Uttar Pradesh,FARRUKHABAD,74964501,388246,Mukesh Rajput,1,BJP,Lotus,MALE,0,50,GENERAL,Graduate,567930,1950,569880,33.35391567,56.80389856,1708585,
Uttar Pradesh,FARRUKHABAD,547843588,174106490,Manoj Agarwal,0,BSP,Elephant,MALE,2,54,GENERAL,Graduate,347714,464,348178,20.37814917,34.70532006,1708585,
Uttar Pradesh,FARRUKHABAD,384280845, -   ,Salman Khurshid,0,INC,Hand,MALE,1,66,GENERAL,Post Graduate,55143,115,55258,3.23413819,5.507948738,1708585,
Punjab,FATEHGARH SAHIB,32808836, -   ,AMAR SINGH,1,INC,Hand,MALE,0,65,SC,Post Graduate,410723,928,411651,27.39115594,41.70049262,1502861,
Punjab,FATEHGARH SAHIB,40931745,21054000,DARBARA SINGH GURU,0,SAD,Scales,MALE,1,66,SC,Post Graduate,316999,754,317753,21.14320619,32.18856904,1502861,
Punjab,FATEHGARH SAHIB,7689077,4479598,MANWINDER SINGH GIASPURA,0,LIP,Letter Box,MALE,0,44,SC,Post Graduate,142072,202,142274,9.466876844,14.41244133,1502861,
Punjab,FATEHGARH SAHIB,5069771, -   ,BANDEEP SINGH,0,AAP,Broom,MALE,0,35,SC,12th Pass,62553,328,62881,4.18408622,6.369882927,1502861,
Uttar Pradesh,FATEHPUR,10667372,910148,NIRANJAN JYOTI,1,BJP,Lotus,FEMALE,0,52,GENERAL,12th Pass,563715,2325,566040,30.77455048,54.1930073,1839312,
Uttar Pradesh,FATEHPUR,74544921,4500729,SUKHDEV PRASAD VERMA,0,BSP,Elephant,MALE,0,62,GENERAL,8th Pass,366167,1668,367835,19.99851031,35.21674235,1839312,
Uttar Pradesh,FATEHPUR,350670770,67794880,RAKESH SACHAN,0,INC,Hand,MALE,8,63,GENERAL,Post Graduate,65738,339,66077,3.592484581,6.326251401,1839312,
Uttar Pradesh,FATEHPUR SIKRI,14854247,356404,RAJKUMAR CHAHAR,1,BJP,Lotus,MALE,3,52,GENERAL,Graduate,662794,4353,667147,38.81386077,64.24388036,1718837,
Uttar Pradesh,FATEHPUR SIKRI,182861705,12294927,RAJ BABBAR,0,INC,Hand,MALE,4,68,GENERAL,Graduate,170889,1193,172082,10.01153687,16.57088381,1718837,
Uttar Pradesh,FATEHPUR SIKRI,13718806, -   ,SHREEBHAGWAN SHARMA,0,BSP,Elephant,MALE,6,44,GENERAL,10th Pass,167517,526,168043,9.776552401,16.18194249,1718837,
Uttar Pradesh,FIROZABAD,42872395, -   ,Dr. Chandra Sen Jadon,1,BJP,Lotus,MALE,0,68,GENERAL,Graduate Professional,494050,1769,495819,27.69149572,46.0552642,1790510,
Uttar Pradesh,FIROZABAD,321157801,50358593,Akshay Yadav,0,SP,Bicycle,MALE,0,32,GENERAL,Graduate Professional,465686,1352,467038,26.0840766,43.38187621,1790510,
Uttar Pradesh,FIROZABAD,2006000, -   ,Shivpal Singh Yadav,0,PSPL,Key,MALE,0,64,GENERAL,Graduate Professional,91651,218,91869,5.130884497,8.533458917,1790510,
Punjab,FIROZPUR,2179919870,954852600,SUKHBIR SINGH BADAL,1,SAD,Scales,MALE,4,56,GENERAL,Post Graduate,631100,2327,633427,39.1386285,54.00975954,1618419,
Punjab,FIROZPUR,85822451,11350390,SHER SINGH GHUBAYA,0,INC,Hand,MALE,0,56,SC,10th Pass,432964,1613,434577,26.85194625,37.05462393,1618419,
Maharashtra,GADCHIROLI-CHIMUR,50136369,15682840,ASHOK MAHADEORAO NETE,1,BJP,Lotus,MALE,0,55,ST,12th Pass,517722,2246,519968,32.88093964,45.46231904,1581366,
Maharashtra,GADCHIROLI-CHIMUR,16211186,2153155,Dr. NAMDEO DALLUJI USENDI,0,INC,Hand,MALE,0,48,ST,Post Graduate,440386,2056,442442,27.97846925,38.68399471,1581366,
Maharashtra,GADCHIROLI-CHIMUR,10709012,600000,Dr. RAMESHKUMAR BABURAOJI GAJBE,0,VBA,Cup & Saucer,MALE,0,66,ST,Post Graduate,110736,732,111468,7.048842583,9.745972403,1581366,
Gujarat,GANDHINAGAR,403275307,4769587,AMIT SHAH,1,BJP,Lotus,MALE,4,54,GENERAL,12th Pass,889925,4699,894624,45.97784324,69.5758213,1945772,
Gujarat,GANDHINAGAR,120468223,19223728,Dr. C. J. CHAVDA,0,INC,Hand,MALE,0,61,GENERAL,Graduate Professional,334082,3528,337610,17.35095376,26.25627418,1945772,
Rajasthan,GANGANAGAR,21014362,3631287,NIHAL CHAND,1,BJP,Lotus,MALE,0,48,SC,Graduate,892744,4433,897177,46.16328597,61.74291249,1943486,
Rajasthan,GANGANAGAR,8701890,4470443,BHARAT RAM MEGHWAL,0,INC,Hand,MALE,0,63,SC,Graduate,487597,2602,490199,25.2226669,33.73505335,1943486,
Uttarakhand,GARHWAL,15032657,3500000,Tirath Singh Rawat,1,BJP,Lotus,MALE,0,55,GENERAL,Post Graduate,487613,19367,506980,37.39353118,67.77608145,1355796,
Uttarakhand,GARHWAL,79462193,5560112,Manish Khanduri,0,INC,Hand,MALE,0,50,GENERAL,Post Graduate,202610,1701,204311,15.06944998,27.31350147,1355796,
Assam,GAUHATI,630219570,34034178,QUEEN OJA,1,BJP,Lotus,FEMALE,0,67,GENERAL,Graduate,1007156,1780,1008936,46.25348241,57.19753961,2181319,
Assam,GAUHATI,162399812,17591733,BOBBEETA SHARMA,0,INC,Hand,FEMALE,0,52,GENERAL,Post Graduate,662776,554,663330,30.40958246,37.60480739,2181319,
Uttar Pradesh,GAUTAM BUDDHA NAGAR,478759568,43863749,Dr. MAHESH SHARMA,1,BJP,Lotus,MALE,0,59,GENERAL,Graduate Professional,828164,2648,830812,36.07583284,59.63588754,2302960,
Uttar Pradesh,GAUTAM BUDDHA NAGAR,53581678,7070674,SATVEER,0,BSP,Elephant,MALE,1,42,GENERAL,8th Pass,493421,469,493890,21.44587835,35.45154439,2302960,
Bihar,GAYA,12766141,3148932,Vijay Kumar,1,JD(U),Arrow,MALE,3,55,SC,12th Pass,465748,1259,467007,27.39693159,48.76573376,1704596,
Bihar,GAYA,3594156,61622,Jitan Ram Manjhi,0,HAMS,Telephone,MALE,3,73,SC,Graduate,313984,597,314581,18.45487142,32.84912923,1704596,
West Bengal,GHATAL,317320579,7879681,ADHIKARI DEEPAK (DEV),1,AITC,Flowers and Grass,MALE,0,36,GENERAL,Others,717407,552,717959,39.88656679,48.20658574,1800002,
West Bengal,GHATAL,180138687,7339380,BHARATI GHOSH,0,BJP,Lotus,FEMALE,11,56,GENERAL,Post Graduate,608523,1463,609986,33.88807346,40.95685466,1800002,
West Bengal,GHATAL,2754951, -   ,TAPAN GANGULI,0,CPI,Ears of Corn And Sickle,MALE,0,63,GENERAL,12th Pass,96943,117,97060,5.392216231,6.516989428,1800002,
Uttar Pradesh,GHAZIABAD,56545702, -   ,Vijay Kumar Singh,1,BJP,Lotus,MALE,2,67,GENERAL,Doctorate,942576,1927,944503,34.6101361,61.93068375,2728978,
Uttar Pradesh,GHAZIABAD,138522059,17300000,Suresh Bansal,0,SP,Bicycle,MALE,0,76,GENERAL,Post Graduate,442615,388,443003,16.2332932,29.04752944,2728978,
Uttar Pradesh,GHAZIABAD,21001366, -   ,Dolly Sharma,0,INC,Hand,FEMALE,0,34,GENERAL,Post Graduate,111730,214,111944,4.102048459,7.340123284,2728978,
Uttar Pradesh,GHAZIPUR,137938756, -   ,AFZAL ANSARI,1,BSP,Elephant,MALE,5,65,GENERAL,Post Graduate,564144,1938,566082,30.09350494,51.11363733,1881077,
Uttar Pradesh,GHAZIPUR,45285263,6116500,MANOJ SINHA,0,BJP,Lotus,MALE,0,59,GENERAL,Graduate Professional,443188,3502,446690,23.74650267,40.3332921,1881077,
Uttar Pradesh,GHOSI,66536025,3454591,ATUL KUMAR SINGH,1,BSP,Elephant,MALE,13,36,GENERAL,Graduate,572459,1370,573829,28.81172454,50.27061359,1991651,
Uttar Pradesh,GHOSI,34341628,2800000,HARINARAYAN,0,BJP,Lotus,MALE,0,78,GENERAL,Literate,449212,2049,451261,22.65763429,39.53297473,1991651,
Jharkhand,GIRIDIH,13456889,1330000,Chandra Prakash Choudhary,1,AJSUP,Banana,MALE,2,50,GENERAL,Graduate,646864,1413,648277,39.30349767,58.55335653,1649413,
Jharkhand,GIRIDIH,19570591,8156343,Jagarnath Mahto,0,JMM,Bow & Arrow,MALE,3,52,GENERAL,10th Pass,398268,1662,399930,24.2468078,36.12228087,1649413,
Jharkhand,GODDA,462757500, -   ,Nishikant Dubey,1,BJP,Lotus,MALE,4,47,GENERAL,Doctorate,635383,2227,637610,37.14018101,53.3858364,1716766,
Jharkhand,GODDA,14197149, -   ,Pradeep Yadav,0,JVM,Comb,MALE,13,53,GENERAL,Graduate,450677,2706,453383,26.40913205,37.96087054,1716766,
Uttar Pradesh,GONDA,232735285,23201603,KIRTI VARDHAN SINGH ALIAS RAJA BHAIYA,1,BJP,Lotus,MALE,0,53,GENERAL,Post Graduate,507276,914,508190,28.70727717,54.99159744,1770248,
Uttar Pradesh,GONDA,26080396,3500000,VINOD KUMAR ALIAS PANDIT SINGH,0,SP,Bicycle,MALE,4,52,GENERAL,12th Pass,341179,651,341830,19.30972384,36.9896648,1770248,
Bihar,GOPALGANJ,32739903,3576376,DR. ALOK KUMAR SUMAN,1,JD(U),Arrow,MALE,0,61,SC,Post Graduate,562424,5726,568150,30.88587529,55.3722214,1839514,
Bihar,GOPALGANJ,8195606,21600,SURENDRA RAM,0,RJD,Hurricane Lamp,MALE,1,41,SC,Graduate,278606,3110,281716,15.31469725,27.45620122,1839514,
Uttar Pradesh,GORAKHPUR,208494688,17711043,Ravindra Shyamnarayan Shukla alias Ravi Kishan,1,BJP,Lotus,MALE,0,51,GENERAL,12th Pass,715010,2112,717122,36.19640046,60.52045488,1981197,
Uttar Pradesh,GORAKHPUR,39717782,2100000,Rambhual Nishad,0,SP,Bicycle,MALE,7,58,GENERAL,Graduate,414340,1118,415458,20.97004992,35.06196595,1981197,
Karnataka,GULBARGA,37490597, -   ,DR. UMESH G JADHAV,1,BJP,Lotus,MALE,0,60,SC,Post Graduate,617692,2500,620192,31.87394161,52.09635514,1945765,
Karnataka,GULBARGA,157722896,3122000,MALLIKARJUN KHARGE,0,INC,Hand,MALE,0,77,SC,Graduate Professional,523552,1188,524740,26.96831323,44.07835218,1945765,
Madhya Pradesh,GUNA,16266408,494053,"KRISHNA PAL SINGH ""Dr. K. P. YADAV""",1,BJP,Lotus,MALE,0,43,GENERAL,Graduate Professional,610855,3194,614049,36.64380292,52.09513475,1675724,
Madhya Pradesh,GUNA,3745618745,2900000,JYOTIRADITYA M. SCINDIA,0,INC,Hand,MALE,0,48,GENERAL,Post Graduate,486105,2395,488500,29.15157866,41.44371757,1675724,
Madhya Pradesh,GUNA,128273308,55970713,DHAKAD LOKENDRA SINGH RAJPOOT,0,BSP,Elephant,MALE,3,41,GENERAL,Post Graduate,37381,149,37530,2.23962896,3.18399738,1675724,
Andhra Pradesh,GUNTUR,3051485242,203452417,Jayadev Galla,1,TDP,Bicycle,MALE,0,53,GENERAL,Graduate,586292,1626,587918,34.45937827,43.50027783,1706119,
Andhra Pradesh,GUNTUR,137466129,1675274,Modugula Venugopala Reddy,0,YSRCP,Ceiling Fan,MALE,3,52,GENERAL,Graduate Professional,580840,2873,583713,34.21291246,43.18914827,1706119,
Andhra Pradesh,GUNTUR,32876690,12482935,Bonaboyina Srinivasa Rao (Bonaboyina Srinivasa Yadav),0,JnP,Glass Tumbler,MALE,1,50,GENERAL,10th Pass,128746,459,129205,7.573035644,9.559927401,1706119,
Punjab,GURDASPUR,871925679,534644785,SUNNY DEOL,1,BJP,Lotus,MALE,0,59,GENERAL,Others,551177,7542,558719,35.02316829,50.58358819,1595284,
Punjab,GURDASPUR,251762701, -   ,SUNIL JAKHAR,0,INC,Hand,MALE,0,65,GENERAL,Post Graduate,474168,2092,476260,29.85424539,43.11816801,1595284,
Haryana,GURGAON,420970754,31500000,RAO INDERJIT SINGH,1,BJP,Lotus,MALE,0,69,GENERAL,Graduate Professional,877241,4305,881546,40.98826072,60.87600243,2150728,
Haryana,GURGAON,274817503,10612632,CAPT. AJAY SINGH,0,INC,Hand,MALE,0,60,GENERAL,Graduate Professional,494733,557,495290,23.02894648,34.20272481,2150728,
Madhya Pradesh,GWALIOR,58911673, -   ,VIVEK NARAYAN SHEJWALKAR,1,BJP,Lotus,MALE,0,71,GENERAL,Graduate Professional,624801,2449,627250,31.35083749,52.40674148,2000744,
Madhya Pradesh,GWALIOR,371815574,64526891,ASHOK SINGH,0,INC,Hand,MALE,0,56,GENERAL,Graduate,479482,926,480408,24.01146773,40.13809145,2000744,
Madhya Pradesh,GWALIOR,1434500, -   ,MAMTA BALVEER SINGH KUSHWAH,0,BSP,Elephant,FEMALE,0,50,GENERAL,10th Pass,44540,137,44677,2.233019317,3.732763634,2000744,
Bihar,HAJIPUR,62834200,6744375,PASHU PATI KUMAR PARAS,1,LJP,Bungalow,MALE,1,66,SC,Graduate Professional,539665,1645,541310,29.68255117,53.71844236,1823664,
Bihar,HAJIPUR,18630915,4997011,SHIV CHANDRA RAM,0,RJD,Hurricane Lamp,MALE,3,49,SC,Graduate,335283,578,335861,18.41682459,33.33012464,1823664,
Himachal Pradesh,HAMIRPUR,56770463,1085145,ANURAG SINGH THAKUR,1,BJP,Lotus,MALE,3,44,GENERAL,Graduate,668812,13880,682692,50.11433131,68.81372299,1362269,
Uttar Pradesh,HAMIRPUR,56770463,1085145,KUNWAR PUSHPENDRA SINGH CHANDEL,1,BJP,Lotus,MALE,4,45,GENERAL,Post Graduate,574101,1021,575122,32.88102453,52.76208248,1749100,
Uttar Pradesh,HAMIRPUR,8958922, -   ,DILIP KUMAR SINGH,0,BSP,Elephant,MALE,0,42,GENERAL,Graduate,325803,667,326470,18.66502773,29.9505793,1749100,
Himachal Pradesh,HAMIRPUR,34888616, -   ,RAM LAL THAKUR,0,INC,Hand,MALE,0,68,GENERAL,Graduate Professional,281000,2120,283120,20.78297311,28.53781977,1362269,
Uttar Pradesh,HAMIRPUR,34888616, -   ,PRITAM SINGH LODHI KISAAN,0,INC,Hand,MALE,0,64,GENERAL,Post Graduate,114376,158,114534,6.548167629,10.50742687,1749100,
Uttar Pradesh,HARDOI,234032624,2615368,Jai Prakash,1,BJP,Lotus,MALE,0,61,SC,Graduate,567244,899,568143,31.43915813,53.70748322,1807119,
Uttar Pradesh,HARDOI,42403277,1060839,Usha Verma,0,SP,Bicycle,FEMALE,0,55,SC,Post Graduate,434459,1210,435669,24.10848428,41.18450022,1807119,
Uttarakhand,HARDWAR,28739888,16444,Ramesh Pokhriyal 'Nishank',1,BJP,Lotus,MALE,0,59,GENERAL,Doctorate,661050,4624,665674,36.1634301,52.27561326,1840738,
Uttarakhand,HARDWAR,8548506, -   ,Ambrish Kumar,0,INC,Hand,MALE,0,70,GENERAL,Post Graduate,406264,681,406945,22.10770897,31.95753393,1840738,
Uttarakhand,HARDWAR,869094791,278877123,Dr. Antriksh Saini,0,BSP,Elephant,MALE,0,60,GENERAL,Graduate Professional,173169,359,173528,9.427088483,13.62721485,1840738,
Karnataka,HASSAN,97848632,37253210,PRAJWAL REVANNA,1,JD(S),A lady farmer carrying paddy on her head,MALE,0,28,GENERAL,Graduate Professional,675512,1094,676606,40.93202718,52.91552908,1652999,
Karnataka,HASSAN,231571214,28860107,MANJU A,0,BJP,Lotus,MALE,0,60,GENERAL,Graduate Professional,533389,1893,535282,32.38247573,41.86296047,1652999,
Karnataka,HASSAN,1290000,38000,VINODRAJ K H,0,BSP,Elephant,MALE,0,29,SC,12th Pass,38682,79,38761,2.344889501,3.031393193,1652999,
Uttar Pradesh,HATHRAS,14930000, -   ,RAJVIR DILER,1,BJP,Lotus,MALE,0,61,SC,12th Pass,679799,4500,684299,36.70501845,59.42876051,1864320,
Uttar Pradesh,HATHRAS,20654961, -   ,RAMJI LAL SUMAN,0,SP,Bicycle,MALE,2,68,SC,Graduate Professional,422588,1503,424091,22.7477579,36.83068727,1864320,
Maharashtra,HATKANANGLE,47771462,41599959,Dhairyasheel Sambhajirao Mane,1,SHS,Bow and Arrow,MALE,0,38,GENERAL,Graduate,582776,3000,585776,32.97257895,46.70094307,1776555,
Maharashtra,HATKANANGLE,24421392,774059,Raju Anna Shetti,0,SWP,Bat,MALE,15,51,GENERAL,10th Pass,487276,2461,489737,27.56666695,39.04424175,1776555,
Maharashtra,HATKANANGLE,23211678,3782280,Aslam Badshahaji Sayyad,0,VBA,Cup & Saucer,MALE,0,56,GENERAL,5th Pass,123151,268,123419,6.94709705,9.839569549,1776555,
Karnataka,HAVERI,718499195,165566495,UDASI. S.C.,1,BJP,Lotus,MALE,0,52,GENERAL,12th Pass,681147,2513,683660,40.01498382,53.92116654,1708510,
Karnataka,HAVERI,53424424,2574740,D.R. PATIL,0,INC,Hand,MALE,0,72,GENERAL,Graduate Professional,541969,809,542778,31.76908534,42.80961725,1708510,
Jharkhand,HAZARIBAGH,770749002,193271437,JAYANT SINHA,1,BJP,Lotus,MALE,0,55,GENERAL,Post Graduate,727359,1439,728798,43.70694437,67.39505559,1667465,
Jharkhand,HAZARIBAGH,346174281,21867709,GOPAL PRASAD SAHU,0,INC,Hand,MALE,0,74,GENERAL,Graduate,249022,228,249250,14.94783998,23.04920925,1667465,
